zip_code,borough,claim_count,paid_claim_count,building_payments,contents_payments,icc_payments,total_claim_dollars_paid,average_payment_per_paid_claim
11237,Brooklyn,11,9,564559.7799999999,66877.23,0.0,631437.01,70159.66777777778
11238,Brooklyn,12,9,39552.93,93791.3,0.0,133344.23,14816.025555555556
11249,Brooklyn,33,23,1261349.1400000001,36515.16,0.0,1297864.3,56428.882608695654
11977,Brooklyn,3,1,1477.0,0.0,0.0,1477.0,1477.0
09038,Manhattan,1,1,1213.6,0.0,0.0,1213.6,1213.6
09245,Manhattan,1,1,20127.0,0.0,0.0,20127.0,20127.0
09510,Manhattan,4,3,4456.62,1816.76,0.0,6273.38,2091.1266666666666
10000,Manhattan,3,2,91120.87000000001,0.0,0.0,91120.87000000001,45560.435000000005
10001,Manhattan,23,16,2838301.97,11212.54,0.0,2849514.5100000002,178094.65687500002
10002,Manhattan,28,15,1701082.31,19747.97,0.0,1720830.28,114722.01866666667
10003,Manhattan,20,10,152523.64,222300.0,0.0,374823.64,37482.364
10004,Manhattan,44,30,11025067.29,322385.67,0.0,11347452.96,378248.43200000003
10005,Manhattan,29,23,5404904.93,587967.05,0.0,5992871.98,260559.65130434785
10006,Manhattan,24,10,2562383.31,0.0,0.0,2562383.31,256238.331
10007,Manhattan,18,13,1325158.71,247784.43,15660.0,1588603.14,122200.24153846153
10009,Manhattan,135,104,11018851.39,80059.29999999999,0.0,11098910.69,106720.29509615384
10010,Manhattan,51,36,4320115.48,6302.780000000001,0.0,4326418.26,120178.28499999999
10011,Manhattan,110,68,10741487.31,986575.82,0.0,11728063.13,172471.51661764708
10012,Manhattan,7,5,21633.75,4397.139999999999,0.0,26030.89,5206.178
10013,Manhattan,137,78,12497861.71,24736.2,0.0,12522597.91,160546.12705128206
10014,Manhattan,84,50,16130789.83,274269.86,0.0,16405059.69,328101.1938
10016,Manhattan,46,29,5360894.71,2576203.7399999998,0.0,7937098.45,273693.05
10017,Manhattan,26,19,492203.32,9168.25,0.0,501371.57,26387.977368421052
10018,Manhattan,14,7,61145.53,63246.60999999999,0.0,124392.13999999998,17770.30571428571
10019,Manhattan,20,10,568557.42,3550.21,0.0,572107.63,57210.763
10020,Manhattan,5,4,7390.0,4148.0,0.0,11538.0,2884.5
10021,Manhattan,38,24,475105.06,150321.91999999998,0.0,625426.98,26059.4575
10022,Manhattan,32,19,27164.4,32686.65,0.0,59851.05,3150.055263157895
10023,Manhattan,21,11,56927.420000000006,6476.73,0.0,63404.15000000001,5764.0136363636375
10024,Manhattan,21,13,200841.96,18052.52,0.0,218894.47999999998,16838.03692307692
10025,Manhattan,12,10,318923.92,17588.280000000002,0.0,336512.2,33651.22
10026,Manhattan,1,0,0.0,0.0,0.0,0.0,
10027,Manhattan,3,2,21957.82,209.97,0.0,22167.789999999997,11083.894999999999
10028,Manhattan,20,12,116238.24,12122.07,0.0,128360.31,10696.6925
10029,Manhattan,99,31,1944925.92,3982.48,0.0,1948908.4,62868.012903225805
10031,Manhattan,1,1,25856.18,2182.98,0.0,28039.16,28039.16
10032,Manhattan,2,1,2908.0,0.0,0.0,2908.0,2908.0
10033,Manhattan,2,2,74375.96,4742.05,0.0,79118.01000000001,39559.005000000005
10034,Manhattan,15,7,324391.98,0.0,0.0,324391.98,46341.71142857143
10035,Manhattan,49,15,569339.42,25249.28,0.0,594588.7,39639.246666666666
10036,Manhattan,8,3,39831.7,4195.0,0.0,44026.7,14675.566666666666
10037,Manhattan,52,44,1334197.47,50276.53,0.0,1384474.0,31465.31818181818
10038,Manhattan,117,88,16775708.3,824480.7400000001,0.0,17600189.04,200002.14818181816
10039,Manhattan,14,5,553742.28,0.0,0.0,553742.28,110748.456
10041,Manhattan,6,2,501740.19,500000.0,0.0,1001740.19,500870.095
10044,Manhattan,2,2,20240.64,0.0,0.0,20240.64,10120.32
